tipo,texto
verde,Arrecho
verde,Chévere
verde,Chimbo
verde,Pavoso
verde,Ladilla
verde,Sifrino
verde,Rascado
verde,Tieso
verde,Burda de bueno
verde,Jalabola
verde,Echao pa' lante
verde,Pelando bola
verde,Camburao
verde,Enratonado
verde,Fino
verde,Mamador de gallo
verde,Bochinchero
verde,Aguevoneado
verde,Sabroso
verde,Cuaima
verde,Arrechísimo
verde,Chimbísimo
verde,Heavy
verde,Maluco
verde,Bravo
verde,Picado
verde,Templao
verde,Flechao
verde,Mosca
verde,Avispao
verde,Brutal
verde,Pelúo
verde,Enrollao
verde,Embarrao
verde,Salao
verde,Echón
verde,Fanfarrón
verde,Tripeao
verde,Mamao
verde,Fundío
verde,Quedao
verde,Cuadrao
verde,Pesao
verde,Misio
verde,Tóxico
verde,Intenso
verde,Zumbao
verde,Despelucao
verde,Fiebrúo
verde,Guapetón
roja,El pana de toda la vida
roja,La cuaima de mi novia
roja,El sifrino del este
roja,Una arepa reina pepiada
roja,El Metro de Caracas
roja,La cola en la autopista
roja,El malandro de la esquina
roja,Un tequeño bien frito
roja,Mi abuela
roja,El perico mañanero
roja,Una Polarcita bien fría
roja,El cachito de jamón
roja,La cédula vencida
roja,El bachaquero
roja,Una caja de cervezas
roja,La luz que se va
roja,El agua que no llega
roja,Un sancocho de gallina
roja,La hallaca de la abuela
roja,El reggaetón a todo volumen
roja,El mototaxi sin casco
roja,La cola para la gasolina
roja,Un palo de ron
roja,El dominó con los panas
roja,La playa de Choroní
roja,Un mango bajito
roja,El zancudo de la madrugada
roja,La novela de las 9
roja,El profesor ladilla
roja,La suegra
roja,Un papelón con limón
roja,El chigüire asado
roja,El gocho trabajador
roja,Un pasapalo en la fiesta
roja,El último tequeño de la bandeja
roja,El pabellón criollo
roja,La cachapa con queso de mano
roja,La arepa de pernil
roja,El golfeado con queso
roja,La empanada de cazón
roja,El perro caliente de la esquina
roja,La parrilla del fin de semana
roja,El quesillo de la abuela
roja,El dulce de lechosa
roja,El bocadillo de guayaba
roja,El marroncito de la mañana
roja,El guayoyo caliente
roja,La malta bien fría
roja,La harina PAN
roja,El dólar paralelo
roja,El billete de cien que ya no vale
roja,La cola del banco
roja,El punto de venta caído
roja,El pago móvil que no llega
roja,El zelle de la familia
roja,El apagón nacional
roja,La planta eléctrica del vecino
roja,La bombona de gas
roja,El tanque de agua vacío
roja,El ventilador en pleno calor
roja,La playa de Margarita
roja,El teleférico de Mérida
roja,El Ávila los domingos
roja,El Salto Ángel
roja,La Gran Sabana
roja,El relámpago del Catatumbo
roja,El por puesto repleto
roja,El hueco en la avenida
roja,El motorizado en contravía
roja,La portera chismosa del edificio
roja,El gallo del vecino a las 5am
roja,El perro que ladra toda la noche
roja,La cucaracha voladora
roja,El zancudo patas blancas
roja,El loro que dice groserías
roja,Los Leones del Caracas
roja,Las Águilas del Zulia
roja,El Magallanes
roja,El narrador de béisbol
roja,El Miss Venezuela
roja,La gandola atravesada en la vía
roja,La alcabala
roja,El maracucho hablando duro
roja,El caraqueño apurado
roja,El llanero a caballo
roja,La gaita en diciembre
roja,El aguinaldo de fin de año
roja,La cena navideña
roja,Las 12 uvas de año nuevo
roja,El año viejo quemado
roja,La maleta paseando la cuadra
roja,El brindis con sidra
roja,La resaca del 1ro de enero
roja,El pernil de navidad
roja,El pan de jamón
roja,La ensalada de gallina
roja,El estreno de diciembre
roja,El parrandón con cuatro y maracas
roja,El bonche hasta el amanecer
roja,La cruda del domingo
roja,Simón Bolívar
roja,Gustavo Dudamel
roja,Carolina Herrera
roja,Ricardo Montaner
roja,Franco De Vita
roja,Óscar D'León
roja,Simón Díaz
roja,José Altuve
roja,Miguel Cabrera
roja,Lele Pons
roja,Édgar Ramírez
roja,María Conchita Alonso
roja,Carlos Baute
roja,Chino y Nacho
roja,Mau y Ricky
roja,Danny Ocean
roja,Corina Smith
roja,Rudy Rodríguez
roja,Lupita Ferrer
